Turn,throw1,throw2,throw3,throw4,throw5,throw6
0,0,0,13,13,1,15
1,0,1,4,4,15,2
2,20,19,8,7,14,14
3,0,6,13,4,18,1
4,0,6,17,17,10,10
5,0,0,10,4,0,1
6,0,20,1,14,16,15
7,12,9,11,3,2,13
8,9,7,13,18,18,0
9,1,9,14,14,7,7
10,0,18,20,13,2,8
11,20,0,10,16,3,7
12,1,1,18,3,8,14
13,4,18,18,2,16,19
14,0,0,0,3,9,12
15,0,0,12,12,20,8
16,2,12,19,19,19,3
17,13,18,20,2,9,19
18,13,18,2,2,12,16
19,18,2,12,16,17,10
20,20,20,9,8,19,17
21,2,14,7,13,4,0
22,12,8,16,7,9,0
23,0,9,19,10,4,1
24,0,12,9,3,6,18
25,12,9,3,6,4,18
26,12,8,16,16,18,0
27,11,8,17,6,0,1
28,9,14,11,13,18,18
29,0,3,6,13,4,18
30,2,11,15,0,18,1
31,14,11,7,6,4,18
32,4,12,8,7,17,18
33,20,7,15,9,13,0
34,11,8,7,3,18,0
35,9,14,19,10,13,1
36,14,14,8,16,3,18
37,20,14,8,3,2,4
38,12,12,9,9,3,2
39,2,14,16,2,1,1
